wakeupduration,lightsleepduration,deepsleepduration,remsleepduration,durationtosleep,durationtowakeup,wakeupcount
1759,3531,16802,14982,210,1888,20
3554,3803,16746,44344,787,717,7
2736,3350,14738,5593,1237,2013,30
4442,4163,6014,5636,124,3180,19
2983,5212,15321,48733,9158,942,9
5266,2620,18167,11833,2260,2691,19
1467,3818,2095,47489,2379,4648,24
4684,5348,19750,34829,6743,4609,7
4566,1081,17554,37670,1707,3817,52
3031,4942,3017,56506,1359,1756,51
1161,4089,19405,37282,8117,481,31
2271,3161,13988,2099,7464,2280,30
2319,1105,14313,16578,9493,1707,49
2340,3688,9633,7940,7115,3074,34
5375,2681,9105,43900,7201,798,46
2581,5935,12397,55151,8603,3176,48
1215,4111,10850,48616,278,3850,3
4552,3232,19347,9038,4548,2066,47
5894,3280,1496,54905,2661,629,53
2146,3291,12390,10036,539,925,34
4789,3120,12284,18845,839,412,5
3614,1719,16981,46817,7294,1468,1
2798,1903,16220,16839,3702,2080,18
1524,1810,4200,14389,3036,2822,46
2451,5279,5330,13272,8592,4784,18
1623,5851,2489,7626,5848,1112,1
2910,1935,16920,34578,7338,505,2
1456,4422,18811,58040,7290,2323,15
1479,3629,7507,57078,1649,2908,55
2734,1176,4407,44654,7137,1085,11
4154,2972,7649,38704,1876,4844,11
1545,2174,10610,10870,276,2725,11
4498,5884,6569,26063,1771,254,35
1353,2129,17352,43715,9121,4828,12
4968,5632,6536,39558,3396,1032,12
2936,5334,8140,39838,5574,4715,51
3612,3092,5820,31813,3889,1248,33
5777,5764,14700,43919,2919,3540,58
4629,1185,2512,59727,1772,2976,46
5670,2984,11842,58946,8850,1367,25
2994,4366,5928,53333,2752,2501,11
1322,5779,11934,30064,1544,1471,43
4385,1451,19052,6828,9996,517,27
2883,4195,3912,47812,3355,1656,50
2963,5161,11552,46300,445,2007,58
5235,5692,8239,4465,6099,4184,32
2307,2220,15493,41627,3393,2935,59
4908,5655,14375,13069,9712,2566,3
3785,1604,10003,46932,9144,1019,47
2533,2868,12403,7941,6080,4338,25
1136,2506,3803,31545,9675,4434,54
3684,3960,13506,27660,2846,1201,45
1732,3824,13474,3484,6327,2868,1
2217,4583,18968,43622,585,1865,49
4024,4868,5874,34471,4524,4615,50
5730,2394,14642,12287,4258,1884,60
2724,2666,6518,1889,1055,4865,12
1446,4669,6221,36618,6065,506,5
1567,2608,5444,17732,3793,3521,29
4628,1569,9960,35337,5177,3450,37
3564,4289,18632,17437,7460,1478,19
1072,5792,11345,35068,7418,3433,31
1312,4531,13478,8368,9909,4478,23
3384,5216,10578,22328,1591,4592,58
1120,5835,18610,16451,9309,3562,27
5033,2724,17900,50472,2764,809,50
3797,3097,17783,9685,7380,3966,32
3039,1873,15674,36635,6267,707,31
1883,4364,6105,50646,8739,4702,31
5493,5728,12723,25018,6855,4941,33
5598,5413,19422,24045,415,3611,44
1364,1347,19046,30977,8632,783,47
3287,5171,5919,42868,4197,4388,8
2835,3551,19927,16889,9450,4384,42
3473,4474,16381,39602,4459,3576,40
5528,1543,3461,11470,6750,1976,25
4462,5362,8269,38282,2337,4126,41
1506,5098,1071,43790,4003,1948,45
3533,5152,10926,20861,2709,3889,47
5459,5111,2579,24206,4852,2678,57
1707,3421,5048,5164,520,289,21
3037,3763,11342,42195,2597,659,28
1376,5975,18700,42759,2062,3607,60
2610,5747,2353,22020,465,1046,9
1257,2070,13225,26992,7576,1643,39
5947,2385,5565,12282,7158,2998,29
3422,1647,13274,580,7090,1026,2
2997,3170,18629,55257,5611,4259,50
4555,2456,16811,6613,5897,3868,54
1213,5739,12783,10715,2227,2192,9
2943,2524,11174,3321,3602,1520,36
1411,3327,14687,25593,1164,527,25
1205,5214,4075,44322,5127,2308,47
2583,3334,15207,26628,3546,1231,13
2190,5086,19724,22847,9088,4700,3
3420,4418,2963,47584,462,4352,51
